,player_1_name,player_1_species,player_1_build_order_names,player_1_winner_status,player_1_league,player_2_name,player_2_species,player_2_build_order_names,player_2_winner_status,player_2_league,map,played_on_date_and_time,game_length,tournament_name
4237,Maru ,Terran,,1,,Scarlett ,Zerg,Pool First,0,,Map: [ESL] Curious Minds,2022-02-25 15:10:00,0 days 00:07:53,Event: IEM Katowice 2022
4238,Maru ,Terran,Mech,1,,Scarlett ,Zerg,Hatch First,0,,Map: 2000 애트모스피어 - 래더,2022-02-25 14:59:00,0 days 00:12:40,Event: IEM Katowice 2022
4239,Reynor ,Zerg,Hatch First,0,,Maru ,Terran,,1,,Map: 2000 Atmospheres LE,2022-02-25 13:21:00,0 days 00:06:00,Event: IEM Katowice 2022
4240,Maru ,Terran,Cyclone Opening,1,,Clem ,Terran,,0,,Map: [ESL] Berlingrad,2022-02-25 11:07:00,0 days 00:14:34,Event: IEM Katowice 2022
4241,Ryung ,Terran,,1,,herO ,Protoss,"1 Gate Expand, Oracle Opening, Blink Stalkers",0,,Map: 2000 애트모스피어 - 래더,2022-02-23 11:50:00,0 days 00:18:36,Event: IEM Katowice 2022
4242,A.I. 1 (Very Easy) ,Zerg,Pool Only,1,,PattyMac ,Protoss,"1 Gate Expand, Mass Adepts",0,,Map: Curious Minds LE,2022-02-18 00:26:00,0 days 00:05:29,
4243,trigger ,Protoss,Proxy Void Ray,1,,MaxPax ,Protoss,1 Gate Expand,0,,Map: Hardwire LE,2022-02-13 17:53:00,0 days 00:04:05,
4244,SI 1 (Bardzo łatwa) ,Protoss,,0,,Krystianer ,Protoss,Blink Stalkers,1,,Map: 2000 atmosfer ER,2022-02-04 19:33:00,0 days 00:08:23,
4245,GuMiho ,Terran,1/1/1,1,,DPGZest ,Protoss,"1 Gate Expand, Oracle Opening",0,,Map: Hardwire LE,2022-02-13 00:01:00,0 days 00:04:24,
4246,Scarlett ,Zerg,Hatch First,0,,PattyMac ,Protoss,"1 Gate Expand, Mass Adepts",1,,Map: 2000 Atmospheres LE,2022-02-08 22:58:00,0 days 00:14:03,
4247,TIME ,Terran,"Liberator Opening, Reaper Expand",0,,Elazer ,Zerg,"Hatch First, Lurkers",1,,Map: 2000 Atmospheres LE,2022-02-04 15:44:00,0 days 00:15:27,
4248,Garitos ,Zerg,Hatch First,0,,Hawk ,Protoss,"Nexus First, Archon Immortal, Dark Templar Rush",1,,Map: Блестящий пепел РВ,2021-11-24 11:58:00,0 days 00:09:20,
4249,ByuN ,Terran,Reaper Expand,1,,MaxPax ,Protoss,"1 Gate Expand, Blink Stalkers, Colossus Rush",0,,Map: [TLMC15] Glittering Ashes,2021-10-23 13:40:00,0 days 00:15:14,Event: StayAtHome Story Cup #4
